수험번호,과목코드,총점,만점,정답수,오답번호
251501,1,71,100,32/45,"8, 11, 15, 16, 23, 25, 26, 27, 28, 29, 30, 31, 35"
251504,2,93,100,42/45,"4, 15, 17"
251505,2,71,100,33/45,"4, 6, 8, 11, 12, 17, 21, 24, 25, 28, 35, 39"
251509,1,80,100,36/45,"14, 15, 16, 17, 24, 25, 27, 28, 29"
251512,2,86,100,39/45,"15, 16, 17, 21, 27, 45"
251514,1,80,100,36/45,"14, 16, 17, 23, 24, 25, 28, 31, 32"
251517,1,31,100,15/45,"2, 3, 4, 6, 8, 10, 11, 12, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31, 34, 36, 40, 42, 44, 45"
251521,1,77,100,36/45,"3, 8, 16, 21, 25, 27, 33, 34, 42"
251523,1,65,100,30/45,"3, 5, 7, 10, 11, 12, 16, 21, 25, 26, 27, 32, 39, 40, 42"
251524,2,93,100,42/45,"4, 25, 28"
